time,open,high,low,close
1719341880,62209.39,62209.4,62158.37,62169.44
1719341940,62169.44,62191.99,62159.08,62159.09
1719342000,62159.09,62178,62106,62137.8
1719342060,62137.8,62193.86,62137.79,62151.58
1719342120,62151.58,62219.99,62151.57,62211.98
1719342180,62211.99,62420,62211.98,62264.54
1719342240,62264.54,62290,62197.99,62224.56
1719342300,62224.55,62250,62140.01,62230.01
1719342360,62230,62239.99,62168.32,62168.33
1719342420,62168.32,62181.63,62128.79,62128.8
1719342480,62128.8,62128.8,62030.01,62030.02
1719342540,62030.01,62039.33,61984.79,61987.98
1719342600,61987.98,61987.98,61960,61971.15
1719342660,61971.14,61975.64,61933.77,61975.64
1719342720,61975.63,61986.85,61911.84,61914.46
1719342780,61914.46,61927.99,61909.99,61910
1719342840,61909.99,61950,61909.99,61924
1719342900,61924,61924,61878.61,61878.62
1719342960,61878.62,61950,61875.34,61950
1719343020,61949.99,61969.86,61930.45,61954.02
1719343080,61954.02,61969,61925.5,61925.53
1719343140,61925.53,61925.53,61882,61882.01
1719343200,61882.01,61914,61882,61903.84
1719343260,61903.84,61961.98,61903.83,61960.02
1719343320,61960.02,61973.98,61948.13,61956.75
1719343380,61956.74,61961.88,61902,61902.01
1719343440,61902,61940,61900.02,61940
1719343500,61940,61940,61901.11,61901.12
1719343560,61901.12,61901.12,61880.69,61891.34
1719343620,61891.34,61919.98,61891.33,61892.01
1719343680,61892.01,62020,61892,61981.7
1719343740,61981.7,61997.89,61962.46,61962.47
1719343800,61962.46,61962.46,61900,61900.01
1719343860,61900.01,61900.01,61872.34,61885.22
1719343920,61885.22,61892.75,61872.73,61872.74
1719343980,61872.74,61889.93,61866,61883.89
1719344040,61883.89,61907.98,61883.88,61891.26
1719344100,61891.26,61926.97,61891.25,61926.97
1719344160,61926.96,61939.05,61903.95,61914.01
1719344220,61914,61959.04,61890.8,61895.99
1719344280,61895.99,61895.99,61857.4,61881.46
1719344340,61881.46,61914,61881.45,61914
1719344400,61914,62040,61913.99,62040
1719344460,62040,62040,61952,61952.01
1719344520,61952.01,61952.01,61904.42,61914
1719344580,61914,61914,61873.01,61873.02
1719344640,61873.02,61886,61851.65,61886
1719344700,61886,61890,61855.01,61855.01
1719344760,61855.01,61868,61806.12,61852.01
1719344820,61852,61852.01,61812,61835.4
1719344880,61835.4,61913.7,61830.01,61913.7
